"","X49041_Reb_TAM","X49041_Reb_TC","X49059_Reb_TAM","X49059_Reb_TC","X49827_Reb_TAM","X49827_Reb_TC","X49849_Reb_TAM","X49849_Reb_TC","X49823_EP_TAM","X49823_EP_TC","X49825_EP_TAM","X49825_EP_TC","X49830_EP_TAM","X49830_EP_TC","X49831_EP_TAM","X49831_EP_TC","X49843_EP_TAM","X49843_EP_TC","X49845_EP_TAM","X49845_EP_TC","X54359_Veh_TAM","X54359_Veh_TC","X54363_Veh_TAM","X54363_Veh_TC","X57098_Veh_TAM","X57098_Veh_TC","X57682_Veh_TAM","X57682_Veh_TC","X64247_Veh_TAM","X64247_Veh_TC"
"Sufu",196,230,194,180,144,22,136,116,82,2,84,54,100,24,132,26,94,22,98,18,304,82,342,28,185,132,256,104,304,187
"Gsto2",6,10,8,0,6,10,14,20,22,4,22,2,14,2,32,0,20,6,20,46,40,3,40,0,15,30,16,20,6,0
"Adrb1",20,18,38,60,82,18,104,42,346,28,166,22,144,40,122,18,198,42,234,2,95,45,186,54,270,78,101,92,84,23
"Afap1l2",70,1644,6,3174,16,436,60,3056,14,64,0,10,0,52,0,124,0,142,6,14,5,2926,6,877,27,5669,37,5691,23,2102
"Gfra1",76,2330,86,5156,10,1038,48,3834,48,258,0,192,28,98,2,88,6,304,44,108,32,2991,2,1579,16,5107,28,6097,52,3157
"Mcm10",420,298,6,610,40,162,120,786,284,98,280,30,20,2,90,26,384,98,750,8,117,310,408,112,804,1279,441,980,366,654
"Itih5",186,11702,272,4158,20,712,200,3998,52,620,14,422,36,658,2,750,4,344,12,306,24,602,26,132,19,4052,22,7874,49,2032
"Sfmbt2",16,244,10,130,28,58,76,158,8,6,28,42,10,14,10,12,22,48,2,2,29,199,184,40,41,233,33,479,42,105
"Prkcq",332,2156,322,616,36,1412,190,1016,38,1736,6,1430,44,428,16,744,12,180,16,1614,86,727,1,544,70,1314,80,1132,37,1157
"Itga8",34,1490,46,1772,0,94,16,1418,24,10,40,2,40,106,14,6,8,36,60,42,6,51,4,88,17,1011,9,1034,25,631
"C1ql3",0,204,10,40,0,40,2,190,4,10,0,4,0,4,4,18,0,10,2,10,0,132,4,17,2,60,4,208,0,144
"Mrc1",1800,8,1502,2,230,26,1420,12,180,32,166,6,148,0,46,2,166,0,198,2,406,27,133,12,1726,26,1313,1,339,0
"Arl5b",216,658,166,346,96,104,120,304,70,112,74,74,182,14,14,52,94,28,130,14,117,173,100,31,191,341,174,360,220,436
"Etl4",636,122,390,18,736,140,1526,50,76,206,90,286,92,174,94,188,354,42,88,196,752,127,463,68,654,130,778,113,336,22
"Mastl",128,724,24,832,78,182,42,848,220,88,154,16,134,14,42,52,136,164,244,8,74,238,114,123,516,773,392,921,212,560
"Il1rn",3674,16,13138,4,504,46,1926,2,130,0,164,34,94,0,84,0,258,22,122,2,1036,146,438,171,3390,14,4546,27,1552,91
"Grin1",14,166,0,100,8,24,2,146,0,14,2,4,0,2,0,16,0,12,0,24,1,57,13,58,3,284,1,216,4,69
"Slc2a6",1990,358,2196,434,1192,182,3100,412,512,14,442,42,542,86,692,82,594,110,464,8,2457,587,3201,128,4351,1288,6573,909,5681,414
"Ppp1r26",36,60,0,250,12,74,28,262,42,46,40,4,56,38,42,12,6,6,56,40,113,170,63,91,60,297,22,408,32,201
"Gbgt1",132,64,92,80,194,12,164,56,102,8,88,2,104,30,46,10,38,2,96,16,317,26,221,65,510,3,391,29,261,0
"Ralgds",50,714,252,624,70,362,174,642,42,286,48,414,4,140,2,112,2,148,34,202,204,382,129,96,213,898,180,1086,193,572
"6530402F18Rik",84,10,116,20,54,66,62,24,34,0,6,54,32,0,4,4,30,4,36,6,13,30,5,25,77,44,60,96,38,32
"Pomt1",444,890,320,576,356,174,538,744,576,82,462,62,342,34,292,70,358,36,484,74,675,306,863,256,857,814,677,759,783,664
"Ptges2",26,34,12,80,10,38,32,172,54,118,32,84,38,60,50,44,60,42,46,302,70,133,91,83,13,116,20,110,63,77
"Ptrh1",54,40,76,32,36,24,82,60,16,84,24,32,4,10,22,0,28,4,22,58,96,73,48,64,97,74,58,32,88,99
"Ralgps1",86,414,154,174,118,160,230,286,122,18,32,40,112,66,24,22,86,28,166,38,181,181,133,188,462,376,408,478,110,64
"Phf19",40,320,24,608,16,58,18,624,130,40,154,40,112,0,106,34,130,50,216,8,17,333,104,125,208,626,111,727,187,615
"Traf1",126,6,430,0,48,622,44,20,48,916,14,1018,6,428,6,500,2,4,12,2,174,40,109,5,160,26,160,7,169,48
"Gsn",5022,5100,7304,5256,1184,2422,3486,5002,442,3706,332,4392,342,2436,206,3016,640,1080,478,5132,3081,5750,2793,2937,3271,11840,7987,10992,8718,3797
"Lrp1b",12,774,2,656,4,254,16,748,0,58,10,20,2,42,2,34,4,82,26,22,8,283,15,266,1,1029,3,2006,63,443
"Kynu",600,2,492,0,214,0,228,0,126,0,40,40,172,0,56,18,70,2,58,0,100,0,71,0,169,5,258,0,119,0
"Lypd6",348,1380,152,768,98,534,50,928,40,348,26,152,32,4,32,144,16,156,96,350,57,330,0,261,62,536,75,761,40,256
"Rnd3",404,2792,448,1330,60,194,148,1172,30,284,10,222,4,34,8,148,28,126,24,482,76,234,44,528,293,821,365,893,106,289
"Tnfaip6",30,1942,82,9636,2,300,160,11592,26,106,6,44,8,14,0,50,0,134,0,82,8,2813,12,986,68,1376,10,3987,6,848
"Rprm",10,658,30,712,26,310,8,674,8,2,6,58,0,18,20,24,0,132,0,28,7,1227,28,1402,7,1740,3,1379,7,1330
"Tanc1",114,1594,94,2198,88,674,60,2022,12,290,6,216,12,80,2,74,2,130,2,246,15,1588,81,1561,103,2636,193,2658,121,1510
"Slc4a10",118,1166,142,616,34,508,12,660,2,5214,12,5944,2,3286,26,2792,4,468,46,8792,2,308,3,115,3,1776,14,1412,29,186
"Dpp4",556,46,1194,2,96,676,106,20,14,872,2,584,6,564,12,624,30,46,28,34,84,6,158,11,308,112,755,35,606,29
"Fign",20,668,14,488,2,134,16,680,2,2,22,50,2,6,0,12,0,152,0,24,31,139,3,9,10,283,0,622,18,148
"Scn3a",84,3018,40,1444,24,568,42,1688,4,16,26,8,2,20,4,44,0,174,6,8,20,851,8,123,7,2485,19,3923,59,534
"Csrnp3",6,988,38,490,12,320,48,628,10,50,0,48,14,28,22,10,0,102,8,68,1,224,7,163,4,703,0,809,24,430
"Scn1a",16,522,0,378,4,136,2,460,10,88,2,32,2,12,34,16,0,72,8,40,9,419,1,182,4,614,1,1152,45,176
"Spc25",266,1552,92,1806,132,238,132,1838,278,212,242,88,216,58,130,68,414,130,534,52,100,1579,381,1071,722,1599,665,1925,782,2515
"Itga6",1186,30,852,14,1252,122,2096,18,2752,230,2138,172,2802,118,1766,262,1730,250,2854,116,2324,28,3406,96,2257,96,2952,79,3330,252
"Osbpl6",48,838,40,3054,24,510,26,2638,62,12,58,130,44,44,36,100,46,218,38,74,30,767,18,1215,25,3325,45,2876,26,1239
"Sestd1",334,1002,312,864,50,258,184,1100,30,104,26,114,18,62,16,26,44,56,22,50,35,427,41,520,156,1273,263,1406,108,645
"Frzb",20,1694,10,454,2,242,10,594,0,82,0,140,0,50,0,42,0,36,0,4,3,175,1,87,4,444,1,469,8,207
"Fam171b",62,2188,64,1696,10,442,6,1896,30,300,14,232,22,30,34,64,6,108,78,86,9,837,8,467,10,1205,11,1516,21,1725
"Slc43a1",68,150,0,134,42,62,34,106,182,50,136,30,94,36,34,12,132,4,144,20,229,34,228,37,212,110,307,111,248,188
"Nr1h3",100,80,304,114,52,56,120,60,70,60,62,2,8,10,16,58,12,0,28,68,85,2,111,149,219,102,266,92,124,23
"Ldlrad3",232,630,330,880,176,272,368,934,26,106,28,132,10,44,10,58,38,126,18,78,72,581,39,221,252,1041,450,1302,80,300
"Abtb2",122,420,196,1182,54,268,38,1458,14,148,28,152,6,74,10,58,4,58,30,14,25,794,52,640,47,1544,32,1827,88,771
"Cd59a",132,402,58,108,96,110,150,32,44,2124,22,1654,52,240,16,714,34,88,44,6162,79,88,140,65,155,115,165,72,178,140
"Tcp11l1",54,128,18,176,56,56,76,118,104,46,104,12,70,4,58,2,82,10,78,42,65,182,64,85,116,132,117,115,106,190
"Ccdc73",22,22,2,12,22,34,2,60,16,12,14,18,28,14,8,2,32,2,8,12,24,29,21,9,36,139,26,98,25,15
"Kif18a",148,524,70,878,88,156,40,924,136,48,182,50,156,40,30,128,98,56,224,4,32,313,95,179,282,820,241,1068,202,426
"Ano3",4,204,0,154,6,84,0,188,6,14,0,34,16,46,2,6,14,4,0,64,12,128,37,110,1,293,5,248,9,121
"Aven",8,12,4,46,12,76,10,82,56,36,34,64,20,2,8,38,48,10,34,28,27,11,38,68,14,94,40,71,62,118
"Disp2",2,1798,36,3032,4,374,16,1948,26,90,2,128,20,34,0,56,28,78,6,138,3,1652,36,395,13,2088,17,4116,3,499
"Casc5",284,988,20,936,150,198,86,1306,770,166,686,72,500,74,200,66,374,128,604,12,103,160,142,433,676,693,337,912,341,408
"Gchfr",14,8,10,12,22,2,36,18,48,114,34,100,26,38,46,28,34,12,52,180,50,16,72,36,35,58,46,23,110,63
"Oip5",44,208,10,144,32,68,22,216,44,16,38,10,28,22,30,12,60,26,72,6,16,164,62,239,150,307,134,315,104,194
"Shc4",18,650,28,2064,50,818,22,1800,16,30,0,40,0,2,18,56,18,74,36,68,14,1759,32,1010,30,3749,57,7534,25,2080
"Atp8b4",376,10,940,2,82,728,360,0,24,898,12,1300,28,374,6,516,30,0,26,2,95,16,91,23,558,9,804,5,135,3
"Usp50",6,0,6,0,4,2,4,2,10,0,24,2,16,8,10,2,10,0,16,2,1,0,13,1,18,0,9,10,9,0
"Bub1",168,472,12,674,60,188,126,760,292,146,154,50,126,22,80,14,208,50,222,28,123,253,471,534,667,892,680,1323,846,1041
"Ckap2l",314,2266,136,2636,242,334,230,3302,1034,168,762,104,780,22,350,116,676,300,1274,108,165,1345,755,1023,1738,3116,1373,3735,1103,2697
"Il1b",978,0,3182,0,850,10,526,2,72,0,86,0,86,6,102,16,16,2,118,2,700,1,721,165,624,5,1233,13,929,7
"4932416H05Rik",14,94,2,66,32,30,2,68,12,28,18,12,8,28,10,14,36,2,28,16,11,24,4,40,18,49,19,67,25,138
"A730017L22Rik",30,192,32,94,48,92,54,88,54,10,42,42,48,18,40,16,6,36,78,4,8,37,35,45,71,90,76,147,31,33
"Siglec1",584,4,870,0,84,0,694,0,34,0,60,0,56,2,42,4,68,16,42,0,240,6,33,0,503,2,717,1,266,0
"Pak7",0,660,0,182,2,78,0,222,0,42,8,4,0,36,0,34,8,52,8,62,4,63,3,4,16,430,0,401,16,116
"Jag1",68,1116,116,1928,138,122,242,1200,194,56,130,160,112,70,48,38,128,72,208,46,51,368,85,133,79,571,106,759,77,107
"Cd93",212,2244,604,2682,40,1020,562,11686,144,88,10,192,16,38,0,30,28,326,24,6,119,631,60,791,473,6643,1240,2771,392,1597
"3300002I08Rik",28,64,18,30,14,18,4,34,22,12,14,10,14,2,6,12,12,2,18,24,5,23,21,8,21,27,22,62,21,33
"Cst7",5878,38,3596,10,8388,926,14692,24,124,1486,320,730,232,452,394,518,3822,434,308,50,18179,425,4875,157,5672,193,8526,100,4845,163
"Gins1",322,320,74,222,88,150,152,422,186,38,406,10,58,46,114,42,318,56,454,4,191,202,263,303,431,642,451,414,333,562
"Ninl",160,446,94,388,358,100,374,480,480,48,364,12,334,18,156,80,204,24,448,106,594,194,385,149,910,542,819,549,250,64
"Sox12",12,338,4,442,18,126,12,602,18,34,26,16,8,4,4,10,12,84,36,24,13,369,29,217,27,746,9,660,27,564
"Id1",136,230,240,72,22,92,76,76,12,590,14,734,4,664,6,506,6,88,18,1268,70,309,283,282,138,262,121,107,269,258
"Tpx2",244,2520,196,3062,320,420,292,3852,682,296,552,144,698,34,472,90,578,374,1348,98,228,2020,910,1389,1793,3666,1463,4603,1596,4513
"Dusp15",6,294,2,210,0,146,8,262,6,48,12,2,0,22,0,18,0,12,2,14,0,458,0,90,1,402,1,296,11,331
"8430427H17Rik",244,2926,212,1274,228,480,260,1678,176,38,76,72,328,40,190,80,116,228,176,92,339,529,315,666,412,2295,486,1505,418,859
"Ggt7",48,2480,60,2856,2,446,40,2836,14,210,34,114,24,66,12,80,8,116,60,274,38,1327,25,491,14,5336,21,4552,19,2228
"Dsn1",410,910,64,676,128,228,162,1000,350,162,314,108,240,36,218,66,188,38,424,60,155,547,200,404,637,1025,588,1056,339,800
"Tgm2",6018,446,15676,292,4228,46,5246,140,440,26,280,92,188,60,244,30,698,36,414,84,6227,81,5046,160,17659,543,23288,254,9272,226
"Ptprt",0,348,8,298,18,370,0,360,8,126,10,64,4,20,6,62,0,30,24,8,17,416,17,266,9,454,9,669,14,104
"Matn4",88,1986,60,4146,6,542,56,2996,8,32,0,14,0,72,2,50,2,230,0,72,7,2022,8,316,10,2808,2,1998,11,1623
"Ube2c",86,1670,70,3280,264,190,84,3168,532,450,660,114,484,100,362,110,460,262,944,70,268,3323,1107,2520,857,2041,574,1990,1531,7382
"Zswim3",210,252,126,136,70,76,74,86,86,16,182,80,110,4,46,46,66,10,142,74,151,144,237,159,226,142,207,199,294,213
"Pltp",1204,512,660,176,184,194,798,118,122,2230,12,1466,48,250,26,510,64,164,36,5978,351,182,314,116,602,299,1033,66,759,162
"Cd40",254,66,730,74,94,26,152,4,86,0,10,128,10,0,18,4,16,0,8,2,75,53,116,1,688,28,334,25,190,6
"Zfp334",8,510,10,290,2,150,0,384,12,22,8,68,4,12,12,18,0,42,50,106,0,61,1,82,13,433,16,364,1,159
"Sulf2",2472,7196,2152,10762,2022,2126,1636,11882,308,470,612,478,232,308,344,148,708,696,832,184,3563,7757,1839,1633,2151,14262,2349,20125,896,7262
"5031425F14Rik",14,0,14,0,14,10,22,0,8,0,6,4,10,0,10,0,2,0,10,0,38,0,34,0,22,1,31,2,10,0
"Snord12",6,10,10,12,14,18,16,18,30,6,20,8,18,10,10,2,14,2,26,2,9,11,7,3,18,34,9,25,2,19
"Ptgis",130,168,164,106,0,36,0,8,2,632,2,526,0,590,0,218,0,130,0,822,16,15,0,43,5,202,1,69,17,67
"B4galt5",360,182,898,364,158,284,338,396,96,206,122,320,64,114,52,128,72,44,98,42,510,144,504,119,684,612,1022,655,1073,149
"Mocs3",8,2,4,16,6,12,2,18,22,20,16,14,24,22,16,22,14,8,20,22,13,54,32,5,18,29,11,14,4,4
"Tshz2",24,1014,26,1854,30,530,18,1258,16,170,10,88,2,34,2,46,4,190,24,48,5,1063,4,1907,11,2317,16,2459,78,1710
"Dok5",2,142,16,590,16,166,6,334,0,16,4,46,0,62,14,4,2,38,4,78,0,669,16,349,4,469,7,550,2,303
"Aurka",202,1238,50,1310,206,120,90,1336,442,108,376,64,278,54,210,18,240,70,572,72,269,707,969,544,1198,1605,838,1408,1560,2480
"Cass4",154,0,380,0,40,0,104,8,22,0,4,6,22,0,4,10,32,4,56,14,452,2,456,0,783,1,845,13,403,1
"Cdh4",18,1850,56,1788,2,500,22,2106,10,6,0,12,4,22,6,6,0,116,4,64,5,833,5,297,14,3343,12,3321,4,772
"Ss18l1",130,496,40,470,150,180,86,358,268,130,116,48,250,34,188,46,144,70,164,20,264,21,106,162,255,407,252,619,69,226
"Slco4a1",772,12,438,4,120,60,320,14,480,356,244,554,254,496,358,306,396,164,254,270,1116,5,1626,73,1913,289,2916,11,3867,29
"Col20a1",30,140,8,210,18,42,48,474,22,4,2,18,8,0,4,0,10,16,2,4,28,490,4,5,17,221,9,596,25,180
"Chrna4",6,600,2,382,6,102,0,906,4,60,0,54,0,4,0,6,8,22,0,78,3,1093,3,242,6,1662,3,2411,3,877
"Zbtb46",34,4,60,0,12,10,28,38,6,4,6,0,22,2,8,0,4,0,20,0,35,30,52,94,27,20,28,42,19,21
"Fabp5",610,674,902,800,682,660,780,1122,186,376,108,256,80,118,94,224,596,404,90,200,1142,1593,1001,1978,415,2053,1053,1559,3336,2609
"Gm9833",16,170,48,218,20,60,6,288,14,48,20,30,14,2,34,14,12,48,60,26,2,171,19,146,6,100,9,134,20,330
"Car13",44,28,154,46,52,64,112,42,58,446,42,788,70,680,22,470,56,182,84,372,96,12,95,137,89,171,104,83,117,134
"2610100L16Rik",0,142,6,150,2,128,0,202,6,42,0,46,14,8,10,14,10,16,4,32,1,60,0,66,0,198,3,253,5,83
"Nlgn1",34,1992,20,1658,8,600,22,2118,2,156,6,68,6,88,38,32,4,162,18,42,8,565,7,181,6,2172,13,2249,61,415
"Egfem1",18,70,22,66,108,74,118,122,18,36,0,18,30,4,18,2,78,8,32,20,27,240,3,78,27,107,12,355,7,45
"Cldn11",506,9960,556,1804,42,1800,454,5132,34,750,8,908,12,772,22,698,16,1162,32,782,24,1848,6,683,21,8606,15,5462,28,5645
"Slc7a14",24,900,0,344,20,252,42,418,2,116,8,12,24,38,0,80,2,72,24,46,1,318,0,67,19,594,8,1108,36,216
"Gnb4",174,2210,356,3428,44,1012,90,2956,34,96,12,182,48,46,30,152,196,254,112,84,129,2827,110,1429,77,4957,266,4197,114,3405
"Usp13",0,82,2,202,0,58,2,156,0,92,0,70,6,8,0,40,0,4,10,6,0,40,5,40,5,225,3,233,13,102
"Ccna2",136,1406,38,1516,184,208,98,2048,474,272,412,66,300,22,152,52,426,128,648,46,60,1539,550,1187,213,992,307,1312,618,2508
"Spry1",62,326,156,3078,46,44,60,1158,76,26,26,14,26,12,14,10,12,30,12,42,39,1132,31,485,77,2169,66,2996,66,1322
"Ccrn4l",78,70,64,730,20,78,32,324,22,50,26,38,28,28,36,34,18,12,40,56,22,667,72,315,58,656,51,869,43,774
"Postn",1898,10788,816,2934,436,132,552,1504,50,116,40,68,74,50,70,18,108,16,146,190,36,131,91,125,162,159,141,395,67,155
"Siah2",8,98,58,116,14,34,14,122,34,38,12,64,52,20,14,6,22,2,56,50,25,29,56,141,58,100,28,108,46,196
"Gpr171",466,36,1860,76,50,1454,220,82,14,1350,2,1354,4,552,40,966,8,16,10,2,113,12,130,9,514,128,1243,204,652,121
"F630111L10Rik",782,120,530,102,270,106,292,172,288,32,256,2,322,32,106,4,132,26,218,8,43,6,27,40,231,312,119,368,57,28
"P2ry12",12688,44,4594,18,18938,390,20668,40,22792,938,16822,480,20414,404,12472,868,14946,820,18300,408,64026,856,55369,1696,71138,1062,125572,514,45442,668
"Igsf10",82,2694,40,1342,162,426,330,1546,44,36,30,6,26,10,22,30,62,198,40,40,165,582,79,229,184,1341,351,1501,348,548
"P2ry1",42,288,32,442,2,94,14,310,0,66,0,4,4,54,0,14,0,60,4,24,4,223,2,23,2,274,4,277,18,65
"Schip1",0,358,16,372,6,126,12,468,8,30,8,24,2,4,0,38,2,40,20,52,1,711,4,403,5,938,7,718,4,728
"Ppm1l",44,410,40,242,80,194,56,366,68,34,110,78,58,8,72,14,12,22,30,26,129,297,103,166,63,353,73,419,85,86
"Gria2",94,7806,28,7790,88,2738,118,11800,68,244,26,316,20,170,22,108,22,886,32,196,20,3809,56,1022,31,13624,40,16863,59,3249
"Gucy1b3",34,858,48,914,30,362,58,1102,16,228,34,126,2,132,4,160,2,96,14,166,16,581,8,541,19,1377,9,1641,12,461
"Tlr2",4860,40,9992,8,4686,130,13708,4,2600,254,4114,162,2552,84,2384,158,3456,442,3878,456,11669,221,12178,238,13064,253,11196,48,8877,140
"Tmem154",1914,22,3336,36,630,622,1548,4,238,434,94,1154,186,364,170,798,218,0,138,18,288,3,198,15,1392,57,2086,21,515,4
"Sh3d19",140,3280,34,1932,74,712,74,2356,36,512,48,434,4,202,4,164,4,312,16,1044,80,2002,55,1370,50,2689,112,3488,57,2549
"Dclk2",18,1030,12,958,20,674,18,1836,46,70,46,40,4,40,8,80,38,168,18,50,41,1521,6,1384,34,1992,27,2412,34,1516
"Sh2d2a",110,10,126,0,14,2616,84,50,16,3370,8,1878,10,1226,16,1542,8,6,22,0,1,9,12,7,18,9,12,4,6,6
"Crabp2",0,24,4,22,0,20,0,14,0,244,2,434,0,534,0,294,0,158,0,258,9,0,1,72,2,262,0,50,0,21
"Nes",16,608,82,1180,42,570,98,1626,100,24,222,34,76,4,96,30,176,168,454,12,33,1042,407,2374,120,1625,42,1938,104,1692
"Iqgap3",588,814,356,688,692,46,776,878,346,20,246,2,312,18,106,22,376,82,510,8,1421,734,1571,160,1956,614,2155,611,2399,526
"1500004A13Rik",18,202,50,274,22,62,36,268,60,76,108,44,32,16,20,24,18,14,28,46,6,187,32,230,62,351,39,415,25,336
"Trim46",22,464,24,490,20,126,8,432,10,76,26,32,4,4,2,80,6,24,38,72,27,538,10,233,10,517,5,535,7,545
"S100a6",1346,1744,1858,1080,236,2364,780,792,226,2412,62,2302,68,1426,50,1880,64,648,100,340,384,2048,446,5118,971,1309,1232,1168,792,2932
"S100a11",1022,470,1810,322,114,752,514,176,136,1126,32,898,30,710,28,716,46,66,32,276,344,698,214,1750,549,233,911,255,810,755
"Celf3",14,120,4,74,20,102,4,150,34,18,4,12,34,10,14,20,6,32,12,66,21,172,14,136,22,182,5,156,6,142
"Anxa9",86,2,76,20,52,6,76,8,44,0,18,4,30,0,10,2,22,0,42,12,51,0,62,3,44,38,73,30,54,1
"Ecm1",2240,1088,2048,512,98,200,836,464,70,164,6,112,22,92,20,218,50,34,26,76,920,15,628,135,1514,318,6260,199,2677,192
"Car14",38,88,24,2,2,98,6,10,8,2224,2,1548,2,432,0,734,0,194,6,5904,0,3,0,8,16,138,4,30,0,2
"Hist2h3b",20,26,10,40,2,16,10,66,14,14,30,12,20,2,20,10,36,18,20,10,12,60,42,61,2,2,7,0,58,88
"Bcl9",52,298,104,116,114,52,152,206,112,12,76,12,144,8,82,16,110,28,164,22,168,94,179,126,221,369,231,403,127,89
"Zfp697",10,74,20,58,42,42,54,84,62,8,10,28,22,42,20,6,22,10,30,18,89,75,191,66,83,104,95,119,32,141
"Cd2",210,32,222,8,20,2796,68,96,20,5684,4,3850,14,1796,26,2624,22,42,10,12,5,7,8,13,18,38,16,1,16,17
"Dennd2c",62,106,296,406,94,46,480,272,116,12,96,16,52,2,56,52,82,30,180,44,343,132,743,43,1108,153,1013,424,507,308
"Syt6",14,178,30,284,2,160,36,550,24,30,28,22,28,46,58,16,14,4,92,28,111,530,42,118,131,723,138,897,59,371
"Kcnd3",2,820,24,1342,2,466,8,1894,10,14,2,58,6,10,2,38,2,146,6,6,3,1189,2,364,17,2068,12,2843,4,568
"6530418L21Rik",34,190,106,5326,50,208,62,3968,46,104,10,58,4,34,10,14,2,70,30,96,33,4096,74,2565,63,6559,39,8771,35,3134
"Dennd2d",88,2,200,12,54,516,82,10,30,682,20,686,14,186,50,340,34,0,54,102,53,9,30,6,116,5,103,4,42,17
"Slc16a4",12,62,4,38,14,26,6,44,46,450,46,392,40,186,18,176,42,70,60,1802,15,37,13,25,22,106,19,70,41,3
"Csf1",1054,626,3204,1686,2180,216,2430,690,272,422,294,118,260,40,210,56,498,82,366,72,9510,382,4270,381,2362,834,2531,474,3177,774
"Atxn7l2",128,238,116,172,64,78,90,96,102,134,146,70,76,2,56,10,86,16,108,32,101,111,132,173,102,205,133,158,123,100
"Psrc1",56,538,14,528,68,44,42,544,114,22,118,34,168,2,84,30,88,90,234,24,23,784,153,327,127,625,147,570,186,725
"Fndc7",106,0,44,0,34,0,588,2,46,0,24,6,12,0,4,0,2,4,18,18,28,0,23,9,104,12,55,14,25,2
"Vav3",74,66,122,126,20,224,58,466,10,154,10,198,18,76,10,72,2,58,14,98,17,101,7,58,53,276,121,300,64,163
"Ntng1",0,204,0,50,2,26,0,384,2,6,0,2,0,48,0,8,2,8,0,2,4,7,2,168,3,27,1,48,9,25
"Col11a1",84,6968,186,20978,26,1730,52,11144,26,20,2,160,2,152,4,54,38,1466,4,38,46,4158,44,1577,36,28845,21,18023,115,13835
"D3Bwg0562e",98,718,100,1048,30,186,20,784,160,782,256,400,356,170,148,374,84,28,194,1998,134,79,32,75,63,1139,46,1937,28,238
"Slc44a3",2,6,0,10,0,8,0,4,0,32,2,42,0,44,0,6,0,14,0,52,9,51,4,27,8,26,2,55,22,38
"Arhgap29",114,1818,28,338,48,92,72,256,14,42,18,546,4,412,18,164,14,80,32,286,178,13,299,28,177,239,183,79,294,3
"Abca4",0,42,0,28,22,64,0,20,0,1188,28,698,0,140,0,156,0,22,2,3004,1,2,9,3,25,60,8,8,19,51
"Bcar3",302,8,620,18,146,84,382,4,48,342,24,212,36,62,32,54,86,44,40,450,246,52,110,17,109,50,191,32,308,92
"Prss12",22,114,4,30,26,72,28,66,12,16,0,114,2,12,8,6,4,4,10,8,1,40,4,18,27,50,21,57,10,35
"Tram1l1",2,626,48,1446,0,116,12,1622,8,66,0,30,0,66,0,28,0,154,0,16,2,926,4,101,1,1851,7,1631,13,1377
"Ugt8a",428,12462,206,3068,16,1498,264,4846,26,418,12,218,18,146,30,268,20,254,28,100,13,1026,5,378,19,3276,15,3422,15,1094
"Egf",10,58,124,50,52,122,48,110,102,26,38,66,76,12,52,6,34,8,136,28,12,34,56,1,72,112,98,165,53,26
"Col25a1",0,2,0,10,22,38,36,54,14,70,8,396,14,212,18,140,12,60,44,122,63,6,0,65,44,134,13,28,20,0
"Npnt",2400,44,1450,10,2686,18,1720,12,2656,134,2060,130,4346,10,1880,172,1704,144,2852,204,3078,52,3208,31,2036,84,2524,26,2605,67
"Cenpe",260,1654,88,2020,284,318,252,2230,1216,134,928,54,918,48,464,76,484,250,904,50,148,415,384,771,1239,1804,817,1871,589,779
"Gbp5",264,42,278,52,334,120,132,28,162,172,26,80,78,26,40,118,24,8,56,2,125,22,130,51,1163,104,233,51,78,1
"Cyr61",32,484,78,2156,14,150,50,846,12,40,0,108,0,94,0,32,0,58,2,54,26,928,15,192,14,684,11,1880,28,1349
"Ak5",32,288,8,454,34,132,18,348,26,58,8,104,8,10,18,16,0,94,18,46,4,608,5,264,8,648,13,851,24,383
"St6galnac5",8,22,82,12,0,14,26,4,4,34,0,72,0,26,4,30,0,38,0,44,1,16,7,66,4,17,7,10,9,18
"4922501L14Rik",0,34,6,94,10,16,0,72,0,2,0,6,8,4,2,2,0,24,0,2,1,132,1,64,0,301,1,285,9,57
"4930570G19Rik",0,252,0,100,2,82,12,148,14,64,36,26,8,36,6,10,2,24,10,2,0,242,8,128,2,415,3,507,31,99
"Ccne2",178,148,44,414,30,76,126,632,138,28,80,4,50,12,40,12,222,40,220,24,85,93,180,89,467,837,365,492,556,292
"Mmp16",10,2530,102,9522,44,1680,96,7386,14,106,8,536,0,190,0,356,0,558,2,132,16,1859,27,717,9,6840,10,6924,18,2559
"Klhl32",16,360,10,1008,6,140,0,606,18,110,10,102,10,46,12,22,14,8,34,180,4,769,11,150,19,936,11,1584,22,648
"4933421O10Rik",30,60,30,24,54,44,68,40,128,10,52,16,116,2,28,34,98,8,112,14,7,1,80,2,28,38,24,40,9,68
"Cnr1",0,514,0,566,0,152,0,652,12,130,0,8,2,28,12,42,2,42,12,32,14,68,6,123,5,397,6,402,8,84
"2310028H24Rik",14,30,34,24,12,22,22,48,12,18,4,2,18,22,4,12,4,8,28,2,2,32,53,51,8,37,15,74,21,12
"Enho",18,398,8,292,6,288,6,202,46,342,30,280,14,260,28,226,10,144,36,360,34,622,15,1034,11,378,18,351,18,344
"Cd72",7024,20,5586,8,2286,124,5824,6,1832,244,3300,648,904,278,1182,242,1948,162,2830,64,4320,116,6266,214,3951,98,6894,34,7058,116
"E130306D19Rik",76,280,60,484,76,20,40,270,340,28,268,14,194,38,188,28,284,60,550,14,111,234,381,212,611,390,371,547,461,606
"Glipr2",1526,214,2530,394,132,1300,454,188,64,1986,22,1496,34,728,14,1292,22,88,112,146,248,348,122,364,832,188,1116,378,786,324
