"","X49041_Reb_TAM","X49041_Reb_TC","X49059_Reb_TAM","X49059_Reb_TC","X49827_Reb_TAM","X49827_Reb_TC","X49849_Reb_TAM","X49849_Reb_TC","X49823_EP_TAM","X49823_EP_TC","X49825_EP_TAM","X49825_EP_TC","X49830_EP_TAM","X49830_EP_TC","X49831_EP_TAM","X49831_EP_TC","X49843_EP_TAM","X49843_EP_TC","X49845_EP_TAM","X49845_EP_TC","X54359_Veh_TAM","X54359_Veh_TC","X54363_Veh_TAM","X54363_Veh_TC","X57098_Veh_TAM","X57098_Veh_TC","X57682_Veh_TAM","X57682_Veh_TC","X64247_Veh_TAM","X64247_Veh_TC"
"Pde4d",222,1506,412,1032,62,866,178,968,128,442,14,282,64,182,34,314,12,162,58,108,81,558,78,321,159,1466,267,1425,165,809
"Plk2",568,1768,1496,20676,168,568,296,5964,36,430,50,404,68,446,72,184,12,188,92,1098,327,7393,398,6508,395,18669,554,15874,1241,8448
"Emb",806,440,860,590,96,1394,542,718,216,5134,38,4338,22,1774,52,2378,60,424,40,8648,50,470,191,145,728,1286,1433,900,397,447
"Gm7120",8,20,16,48,6,16,4,68,16,30,16,18,36,2,20,24,40,0,8,32,24,33,20,44,24,49,15,42,16,38
"Dnase1l3",302,0,486,0,1518,48,106,0,116,66,36,48,68,28,20,0,60,4,34,8,56,0,40,2,750,16,152,0,81,1
"Dlg5",20,472,46,488,28,256,32,502,50,44,44,100,56,4,28,70,46,52,86,186,1,448,6,298,37,526,6,725,28,215
"4931406H21Rik",410,586,204,418,276,160,430,696,264,132,156,200,204,46,76,72,118,10,146,2,45,116,124,7,724,754,616,1008,25,139
"Nt5dc2",14,110,12,160,22,50,34,378,118,208,54,84,54,40,48,64,62,118,74,308,53,439,241,186,57,470,92,394,169,787
"Grid1",0,390,8,312,0,96,10,418,0,54,0,26,0,32,2,8,0,40,6,22,1,169,0,56,5,430,3,709,2,271
"Ptger2",310,6,516,92,100,160,204,20,26,146,22,134,12,38,4,102,4,0,8,18,50,9,215,10,319,68,507,77,343,203
"Styx",48,82,48,54,40,32,64,58,70,12,46,46,88,4,38,10,32,16,66,20,21,32,47,2,123,119,126,183,10,50
"Cdkn3",26,176,48,358,110,46,32,514,268,72,288,48,268,10,230,28,300,34,438,44,65,288,414,403,461,384,374,548,478,986
"Samd4",14,82,16,340,18,510,18,380,18,184,4,248,2,122,8,136,2,110,10,160,8,709,14,773,6,687,4,856,17,502
"Lgals3",7838,100,11052,58,2844,692,5316,50,370,1480,162,1162,106,444,108,840,1020,152,166,356,3618,461,3719,1371,3586,196,4144,124,11020,1268
"3632451O06Rik",70,4100,80,6966,16,610,96,4642,18,240,0,144,0,82,2,122,6,258,2,194,29,2335,7,763,15,6850,11,6407,17,2410
"Gm16617",16,28,16,76,16,2,18,80,98,6,92,8,52,10,76,6,48,22,70,4,47,56,94,29,27,94,46,100,17,41
"Il17d",0,46,0,60,0,58,0,44,0,10,4,2,6,4,0,10,0,20,0,4,0,107,1,24,0,68,1,70,0,40
"F630043A04Rik",82,674,46,720,68,104,22,990,214,68,104,28,72,2,50,4,116,78,288,6,96,204,286,151,415,766,372,957,275,752
"Sacs",12,66,6,26,0,56,14,68,20,24,2,4,10,10,20,34,10,2,14,2,1,12,7,1,13,51,5,58,48,42
"Mir16-1",2,4,4,4,10,6,6,2,20,2,16,10,16,0,8,0,8,6,28,2,7,2,20,0,15,8,8,0,6,5
"Fam124a",2,282,4,378,10,324,8,284,2,62,2,30,2,22,2,8,14,46,4,38,7,377,1,725,0,353,5,853,0,451
"Fzd3",98,2516,96,1962,94,850,60,3016,40,326,22,158,6,304,6,172,6,212,36,384,23,707,2,520,28,2496,6,3290,39,1189
"Pbk",382,3762,110,3932,242,442,226,5506,668,178,578,138,354,106,218,84,676,492,936,42,233,3932,1201,2796,2147,6932,2001,6406,2032,7377
"Esco2",294,616,10,618,52,124,42,660,266,130,124,62,128,14,82,46,230,68,268,2,52,140,169,154,449,876,473,567,201,302
"Cdca2",240,1310,66,1546,178,164,166,1706,630,162,344,96,328,46,148,64,338,78,704,10,128,739,741,477,1104,1824,877,1482,705,1040
"Sorbs3",72,752,134,426,98,188,90,252,12,854,56,498,18,372,6,404,36,168,40,1270,134,503,37,431,38,1056,144,744,105,165
"Bmp1",40,1796,92,1636,2,214,74,1678,22,68,24,250,56,34,14,72,24,102,36,116,121,913,154,197,85,1767,74,2235,119,1779
"Lgi3",46,288,36,154,2,232,38,328,2,22,0,32,4,14,2,14,0,28,8,44,15,222,0,76,3,377,0,248,1,224
"Hr",16,204,8,524,4,176,2,566,2,150,2,66,6,6,0,32,10,12,0,30,0,191,0,105,16,564,4,368,16,310
"Nudt15",20,24,20,26,20,44,30,46,16,8,10,26,14,2,6,14,4,6,20,6,20,60,23,36,32,56,46,64,21,42
"Kctd4",32,1910,68,898,0,548,8,966,42,106,20,90,34,44,14,14,2,164,24,90,21,690,11,481,49,1830,31,1704,18,891
"Enox1",0,278,0,290,6,156,32,232,20,26,2,28,0,30,2,4,4,22,0,88,3,138,16,449,2,171,4,321,8,218
"Pcdh17",28,3372,48,2872,84,1030,44,3396,32,226,28,202,4,104,6,108,8,288,14,124,14,994,47,546,17,4230,13,4436,27,1286
"Pcdh9",130,5734,22,3290,54,1772,40,4886,42,260,12,134,12,156,0,66,18,398,18,44,25,1919,60,749,17,6954,12,9878,23,1065
"6720463M24Rik",86,430,44,610,78,100,26,634,184,138,102,36,138,32,114,44,108,18,184,22,50,224,154,170,376,814,306,1069,203,296
"Tbc1d4",942,230,1192,142,286,784,326,260,64,142,22,354,64,116,60,356,34,32,96,88,207,178,170,205,437,220,756,354,605,147
"Slitrk1",12,1166,2,884,2,242,10,814,2,48,0,6,0,4,0,46,2,84,10,54,32,290,1,45,14,1320,0,1819,1,329
"Slitrk5",16,438,2,584,4,216,2,882,4,70,8,46,2,42,6,6,0,132,0,14,2,230,1,170,9,692,1,819,1,373
"Dab2",2924,1992,6180,1744,546,700,5678,1268,64,1368,70,1092,30,338,74,566,350,122,78,3084,1833,1352,1275,1017,2966,1606,11376,2814,7677,596
"Cdh6",14,742,12,546,0,72,18,528,4,12,18,18,2,8,0,12,6,6,2,2,2,123,1,30,2,796,3,772,24,202
