,x,
491,Tshz2,GPR132
492,Dok5,HOXB4
493,Aurka,FAM132A
494,Cdh4,H1FX
495,Ss18l1,SHC4
496,Slco4a1,CPNE8
497,Chrna4,MEX3B
498,Gm9833,HIST1H1B
499,Car13,GRID1
500,2610100L16Rik,SOCS3
501,Nlgn1,MAPK8IP2
502,Egfem1,RTN4RL1
503,Slc7a14,OPCML
504,Gnb4,KREMEN1
505,Usp13,RAB11FIP1
506,Ccna2,ALAS2
507,Spry1,NDN
508,Ccrn4l,LRRC8B
509,Postn,SS18L1
510,Siah2,KCND2
511,F630111L10Rik,FIGN
512,P2ry12,DUSP18
513,Igsf10,BTLA
514,P2ry1,SPIN4
515,Schip1,CACNA1H
516,Ppm1l,LYPD6
517,Gria2,TRIM46
518,Tlr2,CCDC73
519,Dclk2,CDKN3
520,Crabp2,CASC5
521,Nes,TCP11L1
522,Iqgap3,CDR2L
523,1500004A13Rik,GALNT16
524,Trim46,HIP1
525,Celf3,UNC119
526,Car14,NLRP3
527,Hist2h3b,FAM60A
528,Bcl9,DCX
529,Zfp697,MMP25
530,Dennd2c,ZBTB16
531,Syt6,LMO1
532,Kcnd3,STX3
533,6530418L21Rik,C1QTNF6
534,Slc16a4,GGT7
535,Atxn7l2,FOXG1
536,Psrc1,PLAUR
537,Ntng1,KCTD21
538,Col11a1,DPYSL4
539,Slc44a3,DLK1
540,Abca4,ARHGEF10
541,Bcar3,ACVR2B
542,Prss12,LRRC25
543,Tram1l1,WNT7B
544,Ugt8a,SIGLEC1
545,Egf,GSPT2
546,Col25a1,DUSP15
547,Npnt,TCTEX1D4
548,Cenpe,FOXM1
549,Cyr61,EYA1
550,Ak5,YPEL1
551,St6galnac5,ADCY2
552,4922501L14Rik,SBK1
553,4930570G19Rik,TNFSF13
554,Ccne2,TMEM198
555,Mmp16,DPYSL3
556,Klhl32,SUSD4
557,4933421O10Rik,DOK4
558,Cnr1,FAM69C
559,2310028H24Rik,CCDC37
560,Cd72,NFASC
561,Anks6,FBLN5
562,Galnt12,GSTO2
563,Col15a1,IMPDH1
564,E130309F12Rik,APOD
565,Zfp462,DNER
566,6430704M03Rik,PTGES2
567,Palm2,SPRED3
568,Dbc1,ASCL4
569,Megf9,PDE4D
570,C630043F03Rik,ZC3H7B
571,Haus6,ANXA2
572,Cdkn2a,AK5
573,Cdkn2b,STYX
574,Gm12657,OCA2
575,Podn,FYN
576,Orc1,PCDHB11
577,Zfyve9,PGAP1
578,Rab3b,FN1
579,Elavl4,SERF1A
580,Bend5,SRGAP1
581,Gm12824,OCLN
582,Stil,LINGO1
583,Zswim5,GFRA1
584,Kif2c,SOX12
585,B4galt2,COL18A1
586,Cdca8,DPF1
587,Grik3,VAT1
588,Eif2c4,CLEC12A
589,Clspn,LRRC20
590,Trim62,NPAS3
591,Hpca,AMICA1
592,Marcksl1,UBE2C
593,Bai2,RSPO3
594,Col16a1,PPP1R26
595,Nkain1,CACNA2D1
596,Sesn2,IGF2R
597,Gpn2,ARG1
598,Ubxn11,PTRF
599,Zbtb40,ELAVL4
600,Rap1gap,ZDHHC9
601,Pla2g5,REPS2
602,Klhdc7a,DENND2D
603,Igsf21,SGOL2
604,Fv1,SEMA4F
605,Ptchd2,ATL1
606,Angptl7,NLGN3
607,Apitd1,FZD6
608,Slc2a5,SYN3
609,Errfi1,GTPBP3
610,Vwa1,COL20A1
611,Fam132a,NLRC3
612,9430015G10Rik,MYOF
613,Agrn,XRCC2
614,Steap1,MPZL1
